Country,billions of U.S. dollars
Afghanistan,1.33
Albania,1.23
Algeria,15.25
Angola,3.85
Antigua and Barbuda,0.05
Argentina,76.54
Armenia,9.83
Aruba,80.58
Azerbaijan,95
The Bahamas,17.73
Bahrain,7.91
Bangladesh,55.88
Barbados,1.14
Belarus,88.2
Belize,1.29
Benin,1.49
Bhutan,0.32
Bolivia,6.27
Bosnia and Herzegovina,0.2
Botswana,13.68
Brazil,226.67
Brunei Darussalam,45.6
Bulgaria,24.77
Burkina Faso,4.26
Burundi,0.87
Cabo Verde,0.43
Cambodia,15.09
Cameroon,7.52
Central African Republic,0.16
Chad,10.76
Chile,55
China,1392.28
Colombia,14.75
Comoros,0.54
Congo - Kinshasa,2.25
Congo - Brazzaville,15.23
Costa Rica,113.46
Côte d’Ivoire,23.34
Croatia,34.56
Djibouti,3.75
Dominica,0.02
Dominican Republic,14.58
Ecuador,25.97
Egypt,39.83
El Salvador,17.44
Equatorial Guinea,21.75
Eritrea,0.11
Ethiopia,25.83
Fiji,2.75
Gabon,3.14
The Gambia,0.9
Georgia,14.95
Ghana,4.01
Grenada,0.54
Guatemala,21.79
Guinea,3.26
Guinea-Bissau,0.62
Guyana,2.85
Haiti,1.3
Honduras,46.94
Hungary,57.06
India,510.29
Indonesia,180.71
Iran,64.22
Iraq,105.01
Jamaica,6.36
Jordan,15.22
Kazakhstan,167.4
Kenya,0.83
Kiribati,0.05
Kosovo,0
Kuwait,28.47
Kyrgyzstan,1.01
Laos,6.64
Lebanon,19.91
Lesotho,3.41
Liberia,9.66
Libya,11.83
Macedonia,5.16
Madagascar,5.07
Malawi,6.5
Malaysia,418.54
Maldives,1.09
Mali,4.69
Mauritania,0.4
Mauritius,6.09
Mexico,528.44
Moldova,9.08
Mongolia,1.48
Montenegro,2.57
Morocco,41.02
Mozambique,2.43
Myanmar,6.84
Namibia,13.92
Nepal,5.67
Nicaragua,30.27
Niger,1.57
Nigeria,178.04
Oman,43.85
Pakistan,1.92
Panama,21.04
Papua New Guinea,4.72
Paraguay,37.5
Peru,42.84
Philippines,90.25
Poland,90.02
Qatar,47.13
Romania,34.87
Russian Federation,1049.77
Rwanda,3.59
Samoa,1.45
Sao Tome and Principe,0.18
Saudi Arabia,28.77
Senegal,8.03
Serbia,40.83
Seychelles,0.46
Sierra Leone,5.58
Solomon Islands,1.37
Somalia,0
South Africa,209.22
Sri Lanka,19.97
St. Kitts and Nevis,0.05
St. Lucia,0.12
St. Vincent and the Grenadines,0.05
Sudan,13.11
Suriname,7.6
Swaziland,5.82
Syria,47.67
Tajikistan,0.93
Tanzania,4.82
Thailand,191.77
Timor-Leste,0.19
Togo,22.29
Tonga,0.17
Trinidad and Tobago,36.66
Tunisia,16.84
Turkey,154.5
Turkmenistan,0.18
Uganda,7.15
Ukraine,116.76
United Arab Emirates,0
Uruguay,9.56
Uzbekistan,
Vanuatu,2.25
Venezuela,123.94
Vietnam,92.93
Yemen,3.07
Zambia,28.85
Zimbabwe,2.76
